STATION_ID,STATION_NAME,STATION_X,STATION_Y,target,level,level-target
4226,서광서리3교차로,126.30065,33.29092,510,2,2&510
4227,진부동,126.30272,33.288059999999994,511,2,2&511
4228,진부동,126.30287,33.288059999999994,511,2,2&511
4229,서광서리3교차로,126.30066,33.29108,510,2,2&510
4230,제주신화월드서머셋,126.31853999999998,33.2999,442,2,2&442
4232,먼머루,126.30992,33.27708,512,2,2&512
4233,먼머루,126.31021,33.27698,512,2,2&512
4238,일과1리,126.24243,33.23415,513,2,2&513
4239,일과1리,126.24218,33.23315,513,2,2&513
4250,추사유배지,126.27905,33.2491,287,2,2&287
4251,꿈에그린아파트,126.2721,33.28143,514,2,2&514
4252,꿈에그린아파트,126.27185,33.28134,514,2,2&514
1637,캐슬렉스골프클럽,126.35627,33.33905,51,3,3&51
1638,캐슬렉스골프클럽,126.35543,33.33735,51,3,3&51
1656,도순동,126.47478,33.25275,11,3,3&11
1657,도순동,126.4733,33.25263,11,3,3&11
1671,중문고등학교,126.44858,33.252759999999995,47,3,3&47
1672,중문고등학교,126.4477,33.25283,47,3,3&47
1683,용흥동,126.48346,33.25025,41,3,3&41
1684,용흥동,126.48251,33.25045,41,3,3&41
1705,서귀포우체국서귀포시청제2청사,126.51007,33.25507,22,3,3&22
1706,서귀포우체국서귀포시청제2청사,126.50894,33.25517,22,3,3&22
1742,법환초등학교,126.50941,33.236740000000005,17,3,3&17
1743,법환초등학교,126.50815,33.23653,17,3,3&17
1756,서호북문,126.52205,33.26123,23,3,3&23
1757,서호북문,126.52301,33.26113,23,3,3&23
1762,돗소,126.53613,33.26187,12,3,3&12
1763,돗소,126.5352,33.26197,12,3,3&12
1766,진진내,126.54298,33.26263,48,3,3&48
1767,진진내,126.54467,33.263020000000004,48,3,3&48
1769,광대왓,126.51857,33.24752,4,3,3&4
1770,광대왓,126.51593,33.248090000000005,4,3,3&4
1771,고래왓,126.5123,33.24848,3,3,3&3
1811,삼성여자고등학교,126.58478,33.25732,20,3,3&20
1812,삼성여자고등학교,126.58657,33.257659999999994,20,3,3&20
1835,위미문화의집,126.65983,33.27474,42,3,3&42
1836,위미문화의집,126.65837,33.274770000000004,42,3,3&42
1841,농협주유소,126.64738,33.27097,6,3,3&6
1843,농협주유소,126.64648,33.27045,6,3,3&6
1906,토평초등학교,126.59055,33.26807,53,3,3&53
1907,토평초등학교,126.58888,33.268,53,3,3&53
1941,강정천,126.48635,33.2336,2,3,3&2
1942,강정천,126.4876,33.23402,2,3,3&2
1955,청소년문화의집,126.56505,33.25043,50,3,3&50
1956,청소년문화의집,126.56405,33.25088,50,3,3&50
2002,예래동주민센터,126.39772,33.25377,38,3,3&38
2003,예래동주민센터,126.39855,33.25425,38,3,3&38
2009,뉴경남호텔,126.55957,33.24613,7,3,3&7
2093,고래왓,126.51469,33.24794,3,3,3&3
2104,뉴경남호텔,126.55825,33.24671,7,3,3&7
2125,안덕계곡,126.35336,33.25816,35,3,3&35
2127,창천리남당물동산,126.36617,33.26168,49,3,3&49
2128,창천리남당물동산,126.36732,33.2617,49,3,3&49
2141,안덕계곡,126.35238,33.25786,35,3,3&35
2237,제주민속촌,126.84236,33.32474000000001,45,3,3&45
2239,감산리서동,126.34952,33.2567,1,3,3&1
2273,일과2리서림수원지입구,126.22758,33.243390000000005,44,3,3&44
2326,상위미,126.6545,33.28856,21,3,3&21
2327,상위미,126.65554,33.28838,21,3,3&21
2333,한남섯동네,126.69165,33.31145,57,3,3&57
2334,한남섯동네,126.69047,33.310959999999994,57,3,3&57
2348,성산일출봉입구,126.93303,33.462709999999994,26,3,3&26
2349,성산일출봉입구,126.93377,33.46376,26,3,3&26
2380,표선초등학교,126.83618,33.329840000000004,55,3,3&55
2381,표선초등학교,126.83543,33.32875,55,3,3&55
2403,성읍2리,126.76987,33.41011,27,3,3&27
2404,성읍2리,126.76887,33.41088,27,3,3&27
2435,일과2리서림수원지입구,126.22842,33.24273,44,3,3&44
2470,화순동취락지구,126.33932,33.24922,58,3,3&58
2471,화순동취락지구,126.34033,33.25006,58,3,3&58
2472,덕수리군물왓,126.31592,33.250640000000004,9,3,3&9
2473,덕수리군물왓,126.31438,33.250809999999994,9,3,3&9
2497,감산리서동,126.34866,33.256809999999994,1,3,3&1
2525,씨사이드홈,126.7232,33.28035,33,3,3&33
2526,씨사이드홈,126.72421,33.28052,33,3,3&33
2531,무도동,126.74089,33.28479,14,3,3&14
2532,무도동,126.74192,33.28496,14,3,3&14
2535,어촌계입구,126.74771,33.2878,37,3,3&37
2536,어촌계입구,126.749,33.28829,37,3,3&37
2537,태흥3리사무소,126.75783,33.29358,52,3,3&52
2538,태흥3리사무소,126.75918,33.29437,52,3,3&52
2555,세화2리사무소,126.8039,33.30685,28,3,3&28
2556,세화2리사무소,126.80492,33.30682,28,3,3&28
2557,가흥동,126.80675,33.30712,0,3,3&0
2558,가흥동,126.80851,33.30758,0,3,3&0
2574,신천리,126.84885,33.34441,32,3,3&32
2575,신천리,126.84978,33.34488,32,3,3&32
2588,신산리,126.87695,33.38233,30,3,3&30
2589,신산리,126.87767,33.383309999999994,30,3,3&30
2594,온평리,126.89555,33.40226,39,3,3&39
2595,온평리,126.89656,33.40432,39,3,3&39
2602,신양리입구,126.90923,33.43415,31,3,3&31
2603,신양리입구,126.90993,33.43565,31,3,3&31
2604,성산읍사무소,126.9111,33.44097,25,3,3&25
2605,성산읍사무소,126.91203,33.44225,25,3,3&25
2641,수악교,126.61097,33.33738,29,3,3&29
2643,"남원읍충혼묘지,물영아리",126.69268,33.35954,5,3,3&5
2669,"남원읍충혼묘지,물영아리",126.69166,33.36084,5,3,3&5
2673,수악교,126.61037,33.33469,29,3,3&29
2710,사농동산,126.70319,33.34422,19,3,3&19
2711,사농동산,126.70398,33.34279,19,3,3&19
2774,성박물관,126.34533,33.25548,24,3,3&24
2775,성박물관,126.34407,33.25547,24,3,3&24
2792,제주민속촌,126.84103,33.32547,45,3,3&45
2816,블랭섬홀아시아,126.2848,33.29189,18,3,3&18
2817,블랭섬홀아시아,126.28391,33.29115,18,3,3&18
2837,이교동삼거리,126.27201,33.22619,43,3,3&43
2838,이교동삼거리,126.27115,33.226240000000004,43,3,3&43
2992,바겟도동산,126.70738,33.33775,15,3,3&15
2993,바겟도동산,126.70822,33.33691,15,3,3&15
3058,안덕119센터,126.3289,33.250609999999995,34,3,3&34
3059,안덕119센터,126.32989,33.250029999999995,34,3,3&34
3074,법화사사거리,126.45946,33.26306,16,3,3&16
3075,법화사사거리,126.46136,33.26299,16,3,3&16
3078,제주월드컵경기장서문,126.50686,33.24647,46,3,3&46
3079,제주월드컵경기장서문,126.50605,33.24522,46,3,3&46
3187,표선생활체육관,126.81472,33.35311,54,3,3&54
3188,표선생활체육관,126.81678,33.35329,54,3,3&54
